               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.019539,            0.012819,           0.0011085,             0.97559,             0.98164,             0.98954,             0.73588,            0.012449,           0.0082366,          0.00010068,           0.0087922,           0.0087922,           0.0087922
                  63,            0.019482,            0.012699,          0.00093181,             0.97862,             0.97658,             0.98964,             0.73376,            0.012382,           0.0082649,          0.00010697,           0.0087724,           0.0087724,           0.0087724
                  64,             0.01933,            0.012565,           0.0010139,             0.97689,             0.98083,             0.98921,             0.73603,            0.012387,           0.0082328,          0.00016545,           0.0087526,           0.0087526,           0.0087526
                  65,            0.019188,            0.012597,            0.001016,              0.9764,             0.98206,              0.9886,             0.73774,            0.012377,           0.0082326,          0.00013782,           0.0087328,           0.0087328,           0.0087328
                  66,            0.019188,            0.012509,           0.0010767,             0.97863,             0.98206,             0.98942,             0.73846,            0.012351,           0.0082078,          0.00011772,            0.008713,            0.008713,            0.008713
                  67,             0.01925,            0.012632,           0.0010524,             0.97425,             0.98496,             0.98876,             0.73662,            0.012356,           0.0082281,          0.00011473,           0.0086932,           0.0086932,           0.0086932
                  68,             0.01901,             0.01251,           0.0008702,             0.97657,             0.98155,             0.98944,             0.73714,            0.012328,           0.0082103,          0.00010734,           0.0086734,           0.0086734,           0.0086734
                  69,            0.019265,            0.012661,          0.00091461,             0.97908,             0.98213,             0.98952,             0.73847,            0.012316,           0.0082075,          0.00011226,           0.0086536,           0.0086536,           0.0086536
                  70,            0.019294,            0.012687,          0.00090197,             0.97887,             0.98421,             0.98983,             0.73962,             0.01224,            0.008178,          0.00012262,           0.0086338,           0.0086338,           0.0086338
                  71,            0.019127,            0.012684,          0.00098671,             0.97908,             0.98529,             0.98988,             0.74055,            0.012168,            0.008159,          0.00010176,            0.008614,            0.008614,            0.008614
                  72,            0.019486,            0.012744,            0.001056,             0.97683,             0.98597,             0.98884,             0.73818,            0.012208,           0.0081978,          0.00012776,           0.0085942,           0.0085942,           0.0085942
                  73,            0.019297,            0.012667,           0.0011699,             0.97741,             0.98423,             0.98895,             0.73915,             0.01224,           0.0082231,          0.00011084,           0.0085744,           0.0085744,           0.0085744
                  74,            0.019439,             0.01283,            0.001058,             0.97744,              0.9851,             0.98912,             0.73996,            0.012161,           0.0082043,          0.00013237,           0.0085546,           0.0085546,           0.0085546
                  75,            0.019234,            0.012591,          0.00098875,             0.97827,             0.98568,             0.98931,             0.73918,            0.012185,           0.0081954,          0.00012122,           0.0085348,           0.0085348,           0.0085348
                  76,             0.01905,            0.012569,          0.00088521,             0.97812,             0.98624,             0.98959,             0.73981,            0.012168,           0.0082029,          0.00011704,            0.008515,            0.008515,            0.008515
                  77,            0.019113,            0.012531,          0.00097815,             0.97954,             0.98377,             0.99016,             0.74059,            0.012165,           0.0081971,           0.0001266,           0.0084952,           0.0084952,           0.0084952
                  78,             0.01919,            0.012732,          0.00092649,             0.97822,             0.98312,              0.9899,             0.74131,            0.012203,           0.0081905,          9.6278e-05,           0.0084754,           0.0084754,           0.0084754
                  79,             0.01929,             0.01264,            0.001049,             0.97562,             0.98733,             0.99056,             0.74242,            0.012192,            0.008168,          8.4366e-05,           0.0084556,           0.0084556,           0.0084556
                  80,            0.018931,            0.012533,          0.00091158,               0.978,             0.98392,             0.99004,             0.74091,            0.012166,           0.0081569,          8.7127e-05,           0.0084358,           0.0084358,           0.0084358
                  81,            0.018924,             0.01241,          0.00086695,             0.97824,             0.98105,             0.98987,             0.74252,            0.012098,            0.008135,          8.4849e-05,            0.008416,            0.008416,            0.008416
                  82,            0.019135,            0.012719,           0.0010687,             0.97767,             0.98431,             0.99019,             0.74173,            0.012138,           0.0081544,          8.7982e-05,           0.0083962,           0.0083962,           0.0083962
                  83,            0.018847,            0.012573,           0.0010348,             0.97608,              0.9864,             0.99037,             0.74131,            0.012153,           0.0081438,          8.4798e-05,           0.0083764,           0.0083764,           0.0083764
                  84,            0.019028,            0.012512,          0.00094516,             0.97938,             0.98458,             0.99082,             0.74354,            0.012107,           0.0081346,          9.1824e-05,           0.0083566,           0.0083566,           0.0083566
                  85,            0.019106,            0.012605,           0.0009338,             0.98013,             0.98459,             0.99053,             0.74282,             0.01208,            0.008139,           9.974e-05,           0.0083368,           0.0083368,           0.0083368
                  86,            0.018951,            0.012397,          0.00094463,             0.97837,             0.98537,             0.99021,             0.74287,            0.012091,            0.008153,          0.00011081,            0.008317,            0.008317,            0.008317
                  87,            0.018856,            0.012417,          0.00093649,             0.97812,             0.98502,             0.98987,             0.74242,            0.012063,            0.008141,          8.8455e-05,           0.0082972,           0.0082972,           0.0082972
                  88,             0.01916,            0.012619,           0.0010088,              0.9798,             0.98321,             0.99009,             0.74397,            0.012036,           0.0081327,          8.4993e-05,           0.0082774,           0.0082774,           0.0082774
                  89,            0.018998,            0.012596,           0.0010856,              0.9812,             0.98351,             0.99013,             0.74414,            0.012004,            0.008121,          8.6432e-05,           0.0082576,           0.0082576,           0.0082576
                  90,            0.018925,            0.012523,           0.0007609,             0.98124,             0.98206,             0.98997,             0.74587,            0.011962,           0.0081245,          8.7453e-05,           0.0082378,           0.0082378,           0.0082378
                  91,            0.019074,            0.012562,           0.0010423,             0.98144,             0.98036,             0.98987,             0.74636,            0.011949,           0.0081272,          8.6115e-05,            0.008218,            0.008218,            0.008218
                  92,            0.018997,             0.01258,           0.0010035,             0.97916,             0.98387,             0.98987,             0.74494,            0.011974,            0.008129,          8.3457e-05,           0.0081982,           0.0081982,           0.0081982
                  93,            0.018859,            0.012493,           0.0010901,             0.97964,             0.98448,             0.99014,             0.74566,            0.011999,           0.0081456,          8.1895e-05,           0.0081784,           0.0081784,           0.0081784
                  94,             0.01872,            0.012432,          0.00091195,             0.97901,             0.98532,             0.99044,             0.74483,            0.012023,            0.008143,          8.5489e-05,           0.0081586,           0.0081586,           0.0081586
                  95,             0.01873,            0.012297,          0.00076076,             0.97876,             0.98443,              0.9905,              0.7441,            0.012026,           0.0081525,          9.7431e-05,           0.0081388,           0.0081388,           0.0081388
                  96,            0.018797,            0.012444,          0.00077406,             0.98043,             0.98495,             0.99016,             0.74416,            0.012044,           0.0081596,           0.0001047,            0.008119,            0.008119,            0.008119
                  97,            0.019141,            0.012535,           0.0010211,             0.98178,             0.98436,             0.99038,              0.7446,            0.012032,           0.0081492,          0.00010235,           0.0080992,           0.0080992,           0.0080992
                  98,            0.018552,            0.012274,          0.00084213,             0.98179,             0.98242,             0.98982,             0.74489,            0.011998,           0.0081464,          0.00010264,           0.0080794,           0.0080794,           0.0080794
                  99,            0.018732,            0.012283,          0.00089236,             0.98072,              0.9817,             0.98947,             0.74449,            0.011995,           0.0081504,          0.00010027,           0.0080596,           0.0080596,           0.0080596
                 100,            0.018675,            0.012296,          0.00066589,             0.98074,             0.98147,             0.98994,             0.74432,            0.011994,           0.0081455,          9.2432e-05,           0.0080398,           0.0080398,           0.0080398
                 101,            0.018591,            0.012338,          0.00085779,             0.98112,             0.98278,             0.98983,             0.74384,            0.011993,           0.0081537,          9.3894e-05,             0.00802,             0.00802,             0.00802
                 102,            0.018788,            0.012536,           0.0010401,             0.98042,             0.98282,             0.98948,             0.74461,            0.012001,           0.0081521,          8.6168e-05,           0.0080002,           0.0080002,           0.0080002
                 103,             0.01878,             0.01258,          0.00097298,             0.98125,             0.98301,             0.98972,             0.74489,            0.012024,           0.0081529,          8.1104e-05,           0.0079804,           0.0079804,           0.0079804
                 104,            0.018604,            0.012384,           0.0010623,             0.98172,             0.98239,             0.99046,             0.74419,            0.012046,           0.0081601,          8.1283e-05,           0.0079606,           0.0079606,           0.0079606
                 105,            0.018572,            0.012322,          0.00079002,             0.97761,             0.98476,             0.99014,             0.74453,            0.012048,           0.0081556,          7.9497e-05,           0.0079408,           0.0079408,           0.0079408
                 106,            0.018557,            0.012375,          0.00085098,             0.97817,             0.98536,              0.9903,             0.74403,            0.012054,           0.0081517,          7.7083e-05,            0.007921,            0.007921,            0.007921
                 107,            0.018602,             0.01236,          0.00087952,             0.97827,             0.98499,             0.99024,             0.74447,            0.012045,           0.0081497,          7.4619e-05,           0.0079012,           0.0079012,           0.0079012
                 108,            0.018392,            0.012345,          0.00096323,             0.97899,             0.98467,             0.99015,             0.74434,            0.012049,           0.0081452,            7.24e-05,           0.0078814,           0.0078814,           0.0078814
                 109,            0.018497,            0.012313,          0.00089585,             0.97775,             0.98715,              0.9905,             0.74449,             0.01204,            0.008138,          7.2475e-05,           0.0078616,           0.0078616,           0.0078616
                 110,            0.018498,            0.012265,          0.00084998,             0.97814,             0.98667,              0.9903,             0.74406,             0.01204,           0.0081369,           7.329e-05,           0.0078418,           0.0078418,           0.0078418
                 111,            0.018598,            0.012243,          0.00090861,             0.98136,             0.98123,             0.99037,              0.7439,            0.012031,           0.0081389,          7.4869e-05,            0.007822,            0.007822,            0.007822
                 112,             0.01868,            0.012352,          0.00074947,             0.97533,             0.98772,             0.99049,             0.74433,            0.012014,            0.008134,          7.4675e-05,           0.0078022,           0.0078022,           0.0078022
                 113,             0.01838,            0.012115,           0.0006927,             0.97504,             0.98881,              0.9905,             0.74541,            0.012007,           0.0081329,          7.3815e-05,           0.0077824,           0.0077824,           0.0077824
                 114,            0.018573,             0.01234,          0.00076392,             0.97586,             0.98958,             0.99063,             0.74582,            0.011993,           0.0081275,          7.1853e-05,           0.0077626,           0.0077626,           0.0077626
                 115,            0.018281,            0.012278,          0.00097485,             0.97571,             0.99074,              0.9906,             0.74552,            0.011982,           0.0081256,          7.1242e-05,           0.0077428,           0.0077428,           0.0077428
                 116,            0.018449,             0.01233,          0.00086027,             0.98055,             0.98455,             0.99044,             0.74609,            0.011976,           0.0081235,           7.039e-05,            0.007723,            0.007723,            0.007723
                 117,            0.018289,              0.0122,          0.00072578,             0.98085,             0.98504,             0.99041,             0.74542,            0.011975,           0.0081237,            6.91e-05,           0.0077032,           0.0077032,           0.0077032
                 118,            0.018418,            0.012199,          0.00064833,             0.98089,             0.98455,             0.99027,             0.74601,            0.011966,           0.0081221,          6.9062e-05,           0.0076834,           0.0076834,           0.0076834
                 119,            0.018178,            0.012123,           0.0007768,             0.97574,             0.99061,             0.99036,             0.74548,            0.011959,           0.0081241,          6.9712e-05,           0.0076636,           0.0076636,           0.0076636
                 120,            0.018285,            0.012278,          0.00082627,             0.97651,             0.99046,              0.9904,             0.74546,            0.011964,           0.0081248,          6.9187e-05,           0.0076438,           0.0076438,           0.0076438
                 121,            0.018169,             0.01219,          0.00081001,             0.97644,              0.9901,             0.99025,             0.74555,            0.011964,           0.0081215,          6.8246e-05,            0.007624,            0.007624,            0.007624
                 122,              0.0183,            0.012213,          0.00063589,             0.97816,             0.98726,             0.99046,             0.74532,            0.011959,           0.0081209,          6.8034e-05,           0.0076042,           0.0076042,           0.0076042
                 123,            0.018361,            0.012171,          0.00092227,             0.97848,             0.98714,             0.99047,             0.74541,            0.011958,           0.0081228,          6.8389e-05,           0.0075844,           0.0075844,           0.0075844
                 124,            0.018452,             0.01224,          0.00098763,             0.97855,             0.98719,             0.99045,             0.74578,            0.011955,           0.0081245,          6.7621e-05,           0.0075646,           0.0075646,           0.0075646
                 125,            0.018237,            0.012184,          0.00095319,             0.97801,             0.98832,             0.99024,              0.7462,            0.011959,           0.0081253,          6.6843e-05,           0.0075448,           0.0075448,           0.0075448
                 126,            0.018225,             0.01219,           0.0010087,             0.97795,             0.98996,             0.99031,             0.74585,            0.011959,           0.0081294,          6.6863e-05,            0.007525,            0.007525,            0.007525
                 127,            0.018337,            0.012266,            0.000716,             0.97729,             0.99046,             0.99021,             0.74571,             0.01196,           0.0081302,          6.6797e-05,           0.0075052,           0.0075052,           0.0075052
                 128,            0.018192,            0.012161,          0.00070015,             0.97682,             0.99155,             0.99058,             0.74557,            0.011958,           0.0081311,          6.6809e-05,           0.0074854,           0.0074854,           0.0074854
                 129,            0.018303,            0.012177,          0.00073899,              0.9771,             0.99179,             0.99067,             0.74607,            0.011954,           0.0081331,          6.6779e-05,           0.0074656,           0.0074656,           0.0074656
                 130,            0.018284,             0.01218,          0.00092992,              0.9773,             0.99117,             0.99065,              0.7462,            0.011949,           0.0081305,          6.6644e-05,           0.0074458,           0.0074458,           0.0074458
                 131,            0.018253,            0.012116,          0.00077557,             0.97792,             0.99082,             0.99064,             0.74611,            0.011943,           0.0081272,           6.605e-05,            0.007426,            0.007426,            0.007426
                 132,              0.0182,            0.012091,           0.0006634,             0.97729,             0.99073,             0.99063,             0.74614,            0.011936,           0.0081261,           6.597e-05,           0.0074062,           0.0074062,           0.0074062
                 133,            0.018075,            0.012057,          0.00082829,             0.97614,             0.99154,             0.99064,             0.74664,             0.01193,           0.0081253,          6.5572e-05,           0.0073864,           0.0073864,           0.0073864
                 134,            0.018017,            0.011904,          0.00055271,             0.97683,             0.99179,             0.99071,              0.7465,            0.011926,           0.0081242,          6.5353e-05,           0.0073666,           0.0073666,           0.0073666
                 135,            0.018407,            0.012313,          0.00086344,             0.97635,             0.99229,             0.99076,             0.74741,            0.011923,           0.0081245,          6.5407e-05,           0.0073468,           0.0073468,           0.0073468
                 136,            0.018036,            0.012141,          0.00082609,             0.97671,             0.99227,             0.99084,              0.7471,            0.011918,           0.0081227,          6.5067e-05,            0.007327,            0.007327,            0.007327
                 137,            0.018247,            0.012214,          0.00085771,             0.97685,             0.99244,             0.99087,             0.74703,            0.011915,           0.0081226,          6.4553e-05,           0.0073072,           0.0073072,           0.0073072
                 138,            0.018301,            0.012047,           0.0008201,             0.97686,             0.99202,             0.99092,             0.74686,            0.011911,           0.0081228,          6.4376e-05,           0.0072874,           0.0072874,           0.0072874
                 139,            0.018259,            0.012194,           0.0008101,             0.97683,             0.99183,             0.99094,             0.74646,            0.011907,           0.0081222,          6.4481e-05,           0.0072676,           0.0072676,           0.0072676
                 140,            0.018187,            0.012213,           0.0011121,             0.97782,             0.99084,             0.99096,             0.74679,            0.011907,           0.0081218,          6.4282e-05,           0.0072478,           0.0072478,           0.0072478
                 141,             0.01809,            0.012249,          0.00085585,             0.97778,             0.99083,             0.99095,             0.74664,            0.011906,           0.0081203,          6.3799e-05,            0.007228,            0.007228,            0.007228
                 142,            0.018094,            0.012238,          0.00067008,             0.97787,             0.99068,             0.99094,             0.74606,            0.011902,           0.0081197,          6.3571e-05,           0.0072082,           0.0072082,           0.0072082
                 143,            0.018024,            0.011987,          0.00058933,             0.97795,             0.99005,             0.99092,             0.74624,            0.011898,           0.0081188,          6.3223e-05,           0.0071884,           0.0071884,           0.0071884
                 144,            0.017927,            0.011953,          0.00075315,             0.97789,             0.99025,             0.99091,             0.74664,            0.011894,           0.0081181,          6.3192e-05,           0.0071686,           0.0071686,           0.0071686
                 145,            0.017909,            0.012071,          0.00066016,             0.97773,             0.99155,             0.99094,             0.74659,            0.011891,           0.0081179,          6.2785e-05,           0.0071488,           0.0071488,           0.0071488
                 146,            0.018079,            0.012079,          0.00063539,             0.97866,             0.99016,             0.99094,             0.74587,            0.011889,           0.0081181,          6.2843e-05,            0.007129,            0.007129,            0.007129
                 147,            0.017876,            0.011899,           0.0007288,             0.97868,             0.99045,             0.99096,             0.74664,            0.011886,           0.0081176,          6.2949e-05,           0.0071092,           0.0071092,           0.0071092
                 148,            0.017752,            0.011999,          0.00080024,             0.97886,             0.99026,             0.99095,              0.7465,            0.011883,           0.0081167,          6.2997e-05,           0.0070894,           0.0070894,           0.0070894
                 149,            0.017677,            0.011867,          0.00070755,             0.97858,             0.99017,             0.99094,             0.74636,             0.01188,           0.0081145,          6.2598e-05,           0.0070696,           0.0070696,           0.0070696
                 150,            0.018144,            0.012063,           0.0007649,             0.97832,             0.99115,             0.99096,             0.74638,            0.011878,            0.008114,          6.2229e-05,           0.0070498,           0.0070498,           0.0070498
                 151,            0.017897,            0.011955,          0.00077425,             0.97832,              0.9906,             0.99092,             0.74653,            0.011876,           0.0081131,          6.2033e-05,             0.00703,             0.00703,             0.00703
                 152,            0.018028,            0.012017,          0.00073155,             0.97831,             0.99031,             0.99097,             0.74701,            0.011877,           0.0081134,          6.1527e-05,           0.0070102,           0.0070102,           0.0070102
                 153,            0.017974,            0.011947,          0.00081918,               0.979,             0.99034,             0.99099,             0.74738,            0.011879,           0.0081149,          6.1063e-05,           0.0069904,           0.0069904,           0.0069904
